"Machine Name","Days in Calendar DateTime","Shift Name","ReasonState Group1","ReasonState Group2","ReasonState Name","Reason Occurrences","Scheduled Hours"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Capsuladora","Trancón de tapas en pista de bajada - Mantenimiento","1","0.00250888888888889"
"TAL - Línea RGB","13/1/25","Turno Dia","Mantenimiento","Lavadora de Botellas","Trabamiento de botellas en la salida - Mantenimiento","1","0.0025"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Mixer","Problema presión bomba de agua","1","0.00249916666666667"
"TAL - Línea Ref Pet (Llenadora)","14/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.00245182544444444"
"TAL - Línea RGB","13/1/25","Turno Dia","Mantenimiento","Mixer","Problema presión bomba de agua","1","0.00166861111111111"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Capsuladora","Trancón de tapas en pista de bajada - Mantenimiento","1","0.00166861111111111"
"TAL - Línea RGB","16/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","1","0.00166777777777778"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Mixer","Problema presión bomba de agua","1","0.00166638888888889"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","1","0.000836111111111111"
"TAL - Línea RGB","16/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","1","0.000419166666666667"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","1","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","1","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","0","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","0","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","5","0"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Unscheduled","Mantenimiento","Omnivision","Falla Servomotor","1","0"
