"Machine Name","Days in Calendar DateTime","Shift Name","Horas produciendo","Horas planificadas","Oee"
"TAL - Línea One Way V2","13/1/25","Día Tarde","7.20128836852778","8.99999984130556","0.717535915902296"
"TAL - Línea One Way V2","13/1/25","Turno Día","5.52769555302778","7.49999984127778","0.640979605401762"
"TAL - Línea One Way V2","14/1/25","Día Tarde","7.39757231569444","8.99999984133333","0.771401388964482"
"TAL - Línea One Way V2","14/1/25","Turno Día","5.59573995661111","7.5","0.65752380952381"
"TAL - Línea One Way V2","14/1/25","Turno Noche","6.33672563258333","7.49999972241667","0.777886650105642"
"TAL - Línea One Way V2","15/1/25","Día Tarde","7.85186614877778","9","0.724734299516908"
"TAL - Línea One Way V2","15/1/25","Turno Día","6.27099877619444","7.49999954655556","0.67485733927632"
"TAL - Línea One Way V2","15/1/25","Turno Noche","6.28105836661111","7.49999978877778","0.643458623786189"
"TAL - Línea One Way V2","16/1/25","Día Tarde","6.29399853813889","8.99999960836111","0.623246214484663"
"TAL - Línea One Way V2","16/1/25","Turno Día","5.97775374322222","7.49999998833333","0.654406366462694"
"TAL - Línea One Way V2","16/1/25","Turno Noche","6.796796689","7.5","0.77783768115942"
"TAL - Línea One Way V2","17/1/25","Día Tarde","6.37887249980556","8","0.718030753968254"
"TAL - Línea One Way V2","17/1/25","Turno Día","6.00301499986111","7.5","0.734386243386243"
"TAL - Línea One Way V2","17/1/25","Turno Noche","5.67474037461111","7.49999982047222","0.691913493064071"
"TAL - Línea One Way V2","18/1/25","Turno Día","3.75555111105556","6.5","0.534554334554335"
"TAL - Línea One Way V2","18/1/25","Turno Noche","6.52111499994444","7.5","0.816783068783069"
"TAL - Línea One Way V2","19/1/25","Día Tarde","5.11019579269444","9","0.51147266313933"
"TAL - Línea One Way V2","19/1/25","Turno Día","6.20760777769444","7.5","0.749042328042328"
"TAL - Línea One Way V2","19/1/25","Turno Noche","5.76699472208333","7.5","0.704825396825397"
"TAL - Línea Ref Pet (Llenadora)","13/1/25","Turno Día","5.58353858527778","7.5","0.578330158730159"
"TAL - Línea Ref Pet (Llenadora)","14/1/25","Turno Día","5.44352518833333","7.5","0.614247619047619"
"TAL - Línea Ref Pet (Llenadora)","14/1/25","Turno Noche","5.75916866902778","7.5","0.635079365079365"
"TAL - Línea Ref Pet (Llenadora)","15/1/25","Turno Día","5.70632547166667","7.5","0.617606103958035"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Día","6.00696969347222","7.5","0.6312"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Noche","5.44819219638889","7.5","0.578419047619048"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","2.59590816466667","7.5","0.242914285714286"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","6.28790422294445","9","0.492740740740741"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno Mañana","6.28872378877778","7.5","0.593933333333333"
"TAL - Línea RGB","13/1/25","Turno Dia","5.68072416666667","7.5","0.582148148148148"
"TAL - Línea RGB","14/1/25","Turno Dia","4.32120861111111","5.5","0.568515151515151"
"TAL - Línea RGB","15/1/25","Turno Dia","6.32411944444444","7.5","0.610759259259259"
"TAL - Línea RGB","15/1/25","Turno Noche","4.75152166666667","7.5","0.309503703703704"
"TAL - Línea RGB","16/1/25","Turno Dia","6.03964055555556","7.5","0.539677777777778"
"TAL - Línea RGB","17/1/25","Turno Dia","6.66223555555556","7.5","0.725740740740741"
"TAL - Línea RGB","18/1/25","Turno Dia","5.26458472222222","6.5","0.643350427350428"
"TAL - Línea RGB","18/1/25","Turno Noche","6.02181388888889","7.5","0.64417037037037"
