"Machine Name","Days in Calendar DateTime","Shift Name","ReasonState Group1","ReasonState Group2","ReasonState Name","Reason Occurrences","Scheduled Hours"
"TAL - Línea Ref Pet (Llenadora)","24/12/24","Turno Noche","Mantenimiento","Lavadora de Botellas","Ajuste o cambio de encoder - Lavadora de Botellas","1","0.926314722222222"
"TAL - Línea One Way V2","24/12/24","Turno Noche","Mantenimiento","Sopladora","Trabamiento de Preformas","1","0.878014206444444"
"TAL - Línea Ref Pet (Llenadora)","24/12/24","Turno Noche","Mantenimiento","Lavadora de Botellas","Ajuste o cambio de encoder - Lavadora de Botellas","1","0.813906388888889"
"TAL - Línea RGB","24/12/24","Turno Noche","Mantenimiento","Mixer","Error de Mezcla","5","0.76496"
"TAL - Línea Ref Pet (Llenadora)","28/12/24","Turno Noche","Mantenimiento","Encajonadora","Ajuste o cambio - Encajonadora","4","0.762608810833333"
"TAL - Línea RGB","24/12/24","Turno Noche","Mantenimiento","Mixer","Error de Mezcla","4","0.751616666666667"
"TAL - Línea One Way V2","23/12/24","Turno Día","Mantenimiento","Etiquetadora","Falla Etiquetadora","1","0.674805797416667"
"TAL - Línea One Way V2","28/12/24","Turno Noche","Mantenimiento","Robopac","Problema en Soldadora","7","0.628775595583333"
"TAL - Línea RGB","24/12/24","Turno Noche","Mantenimiento","Mixer","Error de Mezcla","5","0.582511111111111"
"TAL - Línea RGB","23/12/24","Turno Dia","Mantenimiento","Etiquetadora","Falla Etiquetadora","4","0.453454166666667"
"TAL - Línea Ref Pet (Llenadora)","26/12/24","Turno Día","Mantenimiento","Etiquetadora","Ajuste o cambio de cuchillo","1","0.393921571333333"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Codificador","Problema en encoder","2","0.393597386583333"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Sopladora","Presión de soplado insuficiente","4","0.390664166666667"
"TAL - Línea One Way V2","23/12/24","Turno Día","Mantenimiento","Etiquetadora","Falla Etiquetadora","1","0.331537777777778"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Túnel","Ajuste de rodillo ( Balanza)","1","0.328481111111111"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Sopladora","Molde con problemas","4","0.325085555555556"
"TAL - Línea One Way V2","27/12/24","Turno Día","Mantenimiento","Robopac","Problema en Soldadora","11","0.308440237305556"
"TAL - Línea Ref Pet (Llenadora)","26/12/24","Turno Día","Mantenimiento","Decapsuladora","Ajustes por falla","3","0.30180107825"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Paletizadora","Araña toma cartón en falla","2","0.290224082166667"
"TAL - Línea RGB","23/12/24","Turno Noche","Mantenimiento","Llenadora","Espumado al inicio de proceso","0","0.270320833333333"
"TAL - Línea One Way V2","23/12/24","Turno Día","Mantenimiento","Sopladora","Pruebas por mantención","2","0.264349434444444"
"TAL - Línea Ref Pet (Llenadora)","24/12/24","Turno Día","Mantenimiento","Paletizadora","Caída de automático - Paletizadora","1","0.24704627"
"TAL - Línea One Way V2","26/12/24","Turno Día","Mantenimiento","Paletizadora","Araña toma cartón en falla","1","0.239476111111111"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Túnel","Ajuste de rodillo ( Balanza)","1","0.233089315083333"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Codificador","Regulación de Altura - Mantenimiento","4","0.229793333361111"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Transporte","Ajuste o reparacion de barandas","2","0.224115952555556"
"TAL - Línea One Way V2","24/12/24","Turno Noche","Mantenimiento","Sopladora","Trabamiento de Preformas","1","0.220212103305556"
"TAL - Línea RGB","24/12/24","Turno Noche","Mantenimiento","Mixer","Error de Mezcla","2","0.207531111111111"
"TAL - Línea RGB","26/12/24","Turno Dia","Mantenimiento","Mixer","Brix jarabe bajo","3","0.206738888888889"
"TAL - Línea One Way V2","23/12/24","Turno Día","Mantenimiento","Paletizadora","Paletizadora problema con receta","4","0.197828974444444"
"TAL - Línea RGB","24/12/24","Turno Dia","Mantenimiento","Decapsuladora","Ajuste o cambio de sensor - Decapsuladora","1","0.196738333333333"
"TAL - Línea Ref Pet (Llenadora)","23/12/24","Turno Día","Mantenimiento","Transporte","Transporte lleno reparación cadena","0","0.191875555555556"
"TAL - Línea One Way V2","26/12/24","Turno Día","Mantenimiento","Sopladora","Mantención Horno","12","0.18007722225"
"TAL - Línea One Way V2","23/12/24","Turno Día","Mantenimiento","Túnel","Falla en motor","2","0.174811013666667"
"TAL - Línea One Way V2","27/12/24","Día Tarde","Mantenimiento","Paletizadora","Trabamiento de paletas","1","0.170944166722222"
"TAL - Línea One Way V2","23/12/24","Turno Noche","Mantenimiento","Paletizadora","Pérdida de ciclo","1","0.167860484138889"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Paletizadora","Araña toma cartón en falla","2","0.157818106444444"
"TAL - Línea One Way V2","24/12/24","Turno Noche","Mantenimiento","Sopladora","Pruebas por mantención","1","0.155764008027778"
"TAL - Línea One Way V2","26/12/24","Turno Día","Mantenimiento","Paletizadora","Ajuste o cambio de sensor - Paletizadora","3","0.155611388888889"
"TAL - Línea Ref Pet (Llenadora)","23/12/24","Turno Día","Mantenimiento","Transporte","Transporte lleno reparación cadena","1","0.155423533194444"
"TAL - Línea RGB","24/12/24","Turno Dia","Mantenimiento","Mixer","Error de Mezcla","2","0.146722777777778"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Transporte","Ajuste o reparación de guías","2","0.145398254277778"
"TAL - Línea One Way V2","24/12/24","Día Tarde","Mantenimiento","Robopac","Problema carga de batería","4","0.143826309666667"
"TAL - Línea RGB","28/12/24","Turno Noche","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","4","0.138376944444444"
"TAL - Línea One Way V2","29/12/24","Día Tarde","Mantenimiento","Túnel","Falla en motor","2","0.134815516166667"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Sopladora","Bloqueo molde","3","0.132277222222222"
"TAL - Línea RGB","24/12/24","Turno Dia","Mantenimiento","Mixer","Error de Mezcla","3","0.131014166666667"
"TAL - Línea RGB","24/12/24","Turno Dia","Mantenimiento","Lavadora de Botellas","Trabamiento de botellas en la salida - Mantenimiento","1","0.1300275"
"TAL - Línea RGB","23/12/24","Turno Noche","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","5","0.126735"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Transporte","Cambio o reparación de sensor - Transporte","2","0.12194198425"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Sopladora","Problema en el Chiller","3","0.121710277777778"
"TAL - Línea One Way V2","27/12/24","Turno Día","Mantenimiento","Llenadora","Defectos Nudos PLC","7","0.121585674833333"
"TAL - Línea Ref Pet (Llenadora)","28/12/24","Turno Noche","Mantenimiento","Codificador","Ajuste por cambio de fecha","3","0.121535000833333"
"TAL - Línea Ref Pet (Llenadora)","24/12/24","Turno Noche","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.120213055555556"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Paletizadora","Araña toma cartón en falla","6","0.116915639916667"
"TAL - Línea RGB","27/12/24","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","2","0.115711388888889"
"TAL - Línea One Way V2","26/12/24","Turno Noche","Mantenimiento","Sopladora","Molde con problemas","13","0.110593888916667"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Robopac","Problema carga de batería","3","0.108965793888889"
"TAL - Línea One Way V2","24/12/24","Turno Día","Mantenimiento","Paletizadora","Cambio o reparación de sensor - Paletizadora","3","0.103794365166667"
"TAL - Línea Ref Pet (Llenadora)","26/12/24","Turno Noche","Mantenimiento","Despaletizadora","Ajuste o cambio - Despaletizadora","1","0.0992758730555556"
"TAL - Línea One Way V2","26/12/24","Día Tarde","Mantenimiento","Capsuladora","Tapa girada cabezal N° 12","4","0.0986486111111111"
"TAL - Línea One Way V2","23/12/24","Turno Noche","Mantenimiento","Llenadora","Sensor de Tapa Humedo","7","0.0971325378333333"
"TAL - Línea One Way V2","27/12/24","Día Tarde","Mantenimiento","Sopladora","Temperatura sobre los cuerpos de los moldes fuera","2","0.0970574207222222"
"TAL - Línea One Way V2","26/12/24","Turno Día","Mantenimiento","Paletizadora","Reparación mesa paletizadora","3","0.0961530555555556"
"TAL - Línea RGB","23/12/24","Turno Noche","Mantenimiento","Codificador","Ajuste por cambio de formato - Codificador","2","0.0950322222222222"
"TAL - Línea One Way V2","24/12/24","Turno Día","Mantenimiento","Llenadora","Espumado al inicio de proceso","3","0.0896873019722222"
"TAL - Línea One Way V2","27/12/24","Turno Día","Mantenimiento","Robopac","Problema en Soldadora","0","0.0888594444444444"
"TAL - Línea One Way V2","27/12/24","Día Tarde","Mantenimiento","Sopladora","Problema en el Chiller","2","0.0861036509722222"
"TAL - Línea One Way V2","23/12/24","Día Tarde","Mantenimiento","Llenadora","Salida llenadora, caída guía seguridad - Mantenimiento","6","0.0847821829722222"
"TAL - Línea RGB","23/12/24","Turno Noche","Mantenimiento","Llenadora","Espumado al inicio de proceso","1","0.0833333333333333"
